domain,domain_name,siteID,site_name,state,biome_types,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,N,scale,scale1,div,sta,div_p,sta_p
D06,Prairie Peninsula,KONZ,Konza Prairie Biological Station,KS,"Deciduous Forest, Grassland/Herbaceous",39.10077,-96.56309,381,12.1,866,9980,51,2016,2019,4,32,alpha,a,2.543691345,0.743623636,0.582620756,0.102231367
D06,Prairie Peninsula,UKFS,The University of Kansas Field Station,KS,"Deciduous Forest, Pasture/Hay",39.04043,-95.19215,335,12.6,965,9696,46,2016,2019,4,33,alpha,a,2.419610266,0.62717063,0.454646265,-0.016043608
D07,Appalachians & Cumberland Plateau,GRSM,"Great Smoky Mountains National Park, Twin Creeks",TN,"Deciduous Forest, Evergreen Forest",35.68896,-83.50195,579,12.7,1340,7428,13,2015,2019,5,30,alpha,a,1.898369204,0.60182029,-0.089183603,-0.06780136
D07,Appalachians & Cumberland Plateau,ORNL,Oak Ridge,TN,"Deciduous Forest, Evergreen Forest, Pasture/Hay",35.96412,-84.2826,334,13.9,1356,7916,15,2014,2020,7,20,alpha,a,2.129612555,0.612655415,0.146322326,-0.045091402
D08,Ozarks Complex,DELA,Dead Lake,AL,"Evergreen Forest, Woody Wetlands",32.54172,-87.80389,22,17.5,1382,7107,21,2015,2020,6,29,alpha,a,2.044629201,0.502212136,0.07547756,-0.118297157
D08,Ozarks Complex,LENO,Lenoir Landing,AL,"Deciduous Forest, Woody Wetlands",31.85388,-88.16122,20,17.9,1493,6794,20,2016,2019,4,33,alpha,a,1.82863429,0.523483107,-0.145584676,-0.100815315
D08,Ozarks Complex,TALL,Talladega National Forest,AL,"Deciduous Forest, Evergreen Forest, Mixed Forest",32.95046,-87.39327,135,17.1,1425,7154,18,2014,2019,6,22,alpha,a,2.002324238,0.561847814,0.028783956,-0.066163523
D09,Northern Plains,DCFS,Dakota Coteau Field School,ND,Grassland/Herbaceous,47.16165,-99.10656,559,4.7,442,12078,68,2017,2020,4,33,alpha,a,2.43896517,1.095885644,0.471584921,0.405118452
D09,Northern Plains,NOGP,Northern Great Plains Research Laboratory,ND,Grassland/Herbaceous,46.76972,-100.91535,578,5.4,418,11524,65,2016,2020,5,31,alpha,a,1.83638783,0.96804904,-0.126459169,0.286652811
D09,Northern Plains,WOOD,Woodworth,ND,"Emergent Herbaceous Wetlands, Grassland/Herbaceous",47.12823,-99.24136,579,4.6,431,12121,71,2014,2020,7,24,alpha,a,1.804573839,0.678325638,-0.162568069,-0.01272237
D10,Central Plains,CPER,Central Plains Experimental Range,CO,Grassland/Herbaceous,40.81553,-104.7456,1648,8.6,362,8565,58,2013,2020,8,22,alpha,a,2.193983852,0.600283507,0.248562096,-0.042212329
D10,Central Plains,RMNP,"Rocky Mountain National Park, CASTNET",CO,Evergreen Forest,40.27591,-105.54592,2743,0.4,641,7349,17,2017,2020,4,33,alpha,a,1.409692714,0.654116867,-0.58870125,-0.097995992
D10,Central Plains,STER,"North Sterling, CO",CO,Cultivated Crops,40.4619,-103.0293,1364,9.2,419,9230,72,2014,2020,7,6,alpha,a,1.618916656,0.396847462,-0.327382527,-0.243303603
